id,Cameroon,Ethiopia,Tanzania,Zambia,Uganda,Nigeria,Zimbabwe,Kenya,Malawi,Tunisia,Switzerland,Ghana
1,KAM,SIN,RAH,LUC,TUH,BAS,MUS,CHA,GOD,SAH,EMI,ZEN
2,MBA,DAW,ROS,DAV,,,,EMM,AGN,OUM,CAM,
3,,DGB,FRA,,,,,LYD,,,BIL,
4,,,ELI,,,,,VAL,,,,
5,,,,,,,,JAM,,,,
6,,,,,,,,WAN,,,,
7,,,,,,,,MUT,,,,
8,,,,,,,,GEO,,,,
9,,,,,,,,GEF,,,,
10,,,,,,,,PAT,,,,
11,,,,,,,,TAB,,,,
12,,,,,,,,BRI,,,,
13,,,,,,,,STA,,,,
14,,,,,,,,STE,,,,
15,,,,,,,,THU,,,,
16,,,,,,,,JOH,,,,
17,,,,,,,,ALI,,,,
18,,,,,,,,PUR,,,,
19,,,,,,,,WAI,,,,
20,,,,,,,,MIL,,,,
21,,,,,,,,BRL,,,,
22,,,,,,,,TRI,,,,
