"","node","degree","betweenness"
"KAM","KAM",23,0
"SIN","SIN",24,0
"RAH","RAH",25,0
"DAW","DAW",24,0
"LUC","LUC",23,0
"TUH","TUH",22,0
"BAS","BAS",22,0
"MBA","MBA",23,0
"MUS","MUS",22,0
"DAV","DAV",23,0
"CHA","CHA",43,9.77272727272727
"EMM","EMM",43,9.77272727272727
"LYD","LYD",43,9.77272727272727
"VAL","VAL",43,9.77272727272727
"GOD","GOD",23,0
"AGN","AGN",23,0
"ROS","ROS",25,0
"FRA","FRA",25,0
"JAM","JAM",43,9.77272727272727
"DGB","DGB",24,0
"ELI","ELI",25,0
"WAN","WAN",43,9.77272727272727
"MUT","MUT",43,9.77272727272727
"GEO","GEO",43,9.77272727272727
"GEF","GEF",43,9.77272727272727
"SAH","SAH",23,0
"PAT","PAT",43,9.77272727272727
"TAB","TAB",43,9.77272727272727
"BRI","BRI",43,9.77272727272727
"STA","STA",43,9.77272727272727
"OUM","OUM",23,0
"STE","STE",43,9.77272727272727
"THU","THU",43,9.77272727272727
"EMI","EMI",24,0
"CAM","CAM",24,0
"ZEN","ZEN",22,0
"BIL","BIL",24,0
"JOH","JOH",43,9.77272727272727
"ALI","ALI",43,9.77272727272727
"PUR","PUR",43,9.77272727272727
"WAI","WAI",43,9.77272727272727
"MIL","MIL",43,9.77272727272727
"BRL","BRL",43,9.77272727272727
"TRI","TRI",43,9.77272727272727
